,center_dist,price,Комнат,Площадь квартиры,Этаж,Лифт,Материал стен,Парковка,Жилая площадь,Площадь кухни,Ремонт,Санузел,Кол-во санузлов,Высота потолков
0,5.2,22628550,1,46.8,9,есть,кирпич-монолит,закрытая,,,,,,
1,12.3,41271955,3,73.6,36,,монолит,,49.8,2.8,,,,
2,7.8,24000000,1,43.0,5,есть,кирпич-монолит,подземная,23.0,10.0,Дизайнерский,совмещённый,1,3.0
3,5.2,15768750,1,36.3,5,есть,кирпич-монолит,закрытая,,,,,,
4,13.1,15000000,2,60.0,3,есть,панель,открытая,40.0,9.0,Евро,раздельный,1,2.75
5,9.5,16500000,1,32.0,9,есть,монолит,,12.0,13.0,Дизайнерский,совмещённый,1,
6,22.2,18000000,2,63.0,10,есть,,подземная,31.0,10.7,Евро,совмещённый,1,2.7
7,3.9,29500000,1,46.2,3,есть,монолит,подземная,30.5,8.0,Чистовая отделка,совмещённый,1,3.3
8,5.2,20046400,1,45.6,9,есть,кирпич-монолит,закрытая,,,,,,
9,5.2,20773920,1,46.0,8,есть,кирпич-монолит,закрытая,,,,,,
10,6.2,26500000,2,43.0,10,есть,монолит,подземная,19.0,15.1,Евро,совмещённый,1,3.1
11,4.0,24000000,1,36.4,20,есть,кирпич,подземная,23.0,8.0,Чистовая отделка,совмещённый,1,3.0
12,7.4,15000000,1,32.0,15,есть,монолит,подземная,18.0,5.0,Дизайнерский,совмещённый,1,3.1
13,12.0,22000999,4,90.0,2,есть,панель,,54.8,11.0,Хороший,раздельный,2,2.7
14,5.2,16924820,1,40.5,6,есть,кирпич-монолит,закрытая,,,,,,
15,5.2,15132900,,34.5,6,есть,кирпич-монолит,закрытая,,,,,,
16,5.2,22562850,1,52.3,6,есть,кирпич-монолит,закрытая,,,,,,
17,5.5,16245000,,16.8,35,есть,монолит,подземная,8.0,,Евро,совмещённый,1,3.3
18,5.2,16976750,1,38.2,5,есть,кирпич-монолит,закрытая,,,,,,
19,5.2,30896720,2,66.2,7,есть,кирпич-монолит,закрытая,,,,,,
20,12.3,16117183,1,34.7,2,,монолит,,24.2,4.6,,,,
21,12.3,18558890,1,37.7,16,,монолит,,27.9,3.7,,,,
22,12.8,28900000,3,83.0,11,есть,кирпич-монолит,подземная,57.0,5.7,Чистовая отделка,раздельный,2,3.0
23,15.5,20370540,1,46.7,36,есть,кирпич-монолит,,15.7,,,,,3.0
24,14.0,29000000,3,77.9,3,,панель,,47.0,10.0,Хороший,совмещённый,1,2.64
25,7.7,25700000,3,75.0,1,,кирпич,открытая,54.0,9.0,Хороший,раздельный,1,3.2
26,5.2,35706840,2,73.3,15,есть,кирпич-монолит,закрытая,,,,,,
27,12.3,16782252,1,35.1,4,,монолит,,24.3,4.8,,,,
28,4.9,30000000,1,46.4,8,,кирпич-монолит,подземная,24.0,12.0,Дизайнерский,совмещённый,1,3.1
29,5.2,30255550,2,68.0,9,есть,кирпич-монолит,закрытая,,,,,,
30,7.7,15800000,1,42.1,7,есть,кирпич-монолит,подземная,11.0,17.0,Дизайнерский,совмещённый,1,2.85
31,5.2,31578540,2,67.6,10,есть,кирпич-монолит,закрытая,,,,,,
32,6.2,25000000,1,42.0,13,есть,монолит,подземная,30.0,10.0,Дизайнерский,совмещённый,1,3.2
33,6.3,36000000,2,68.0,2,есть,монолит,подземная,27.0,18.6,Дизайнерский,совмещённый,2,3.25
34,5.5,115000000,6,170.0,38,есть,монолит,закрытая,,35.0,Дизайнерский,совмещённый,2,
35,7.7,18800000,1,30.0,4,есть,монолит,,15.0,10.0,Дизайнерский,совмещённый,1,
36,12.3,16677890,1,34.0,7,,монолит,,24.1,3.1,,,,
37,7.9,36792405,3,82.8,9,,,,41.3,,,,2,3.15
38,11.5,33000000,3,100.0,10,есть,кирпич-монолит,открытая,60.0,22.0,Дизайнерский,совмещённый,2,3.0
39,7.7,27800000,1,50.8,13,есть,монолит,подземная,20.0,19.0,Дизайнерский,совмещённый,1,3.1
40,24.8,17586690,3,77.8,6,есть,панель,закрытая,42.3,12.2,,,,2.84
41,12.3,22752000,2,52.5,5,,монолит,,35.3,3.9,,,,
42,12.6,23800000,3,71.0,10,есть,монолит,подземная,50.0,15.0,Хороший,совмещённый,2,2.8
43,6.2,25000000,1,45.0,5,есть,монолит,подземная,,12.0,Дизайнерский,совмещённый,1,
44,12.3,23124750,2,52.5,10,,монолит,,35.3,3.9,,,,
45,4.0,38000000,3,83.0,5,,,,51.0,10.0,Дизайнерский,совмещённый,2,3.1
46,5.2,19368800,1,44.0,6,есть,кирпич-монолит,закрытая,,,,,,
47,4.1,37600000,4,85.0,4,,кирпич,закрытая,,22.6,Дизайнерский,,2,
48,12.1,19000000,1,45.0,13,есть,монолит,подземная,31.0,6.0,Евро,совмещённый,1,2.85
49,16.6,35000000,3,71.6,9,есть,монолит,подземная,50.0,17.0,Дизайнерский,совмещённый,2,3.1
50,16.4,22732944,2,69.5,6,,монолит,,30.9,24.8,,,,
51,5.2,36509970,3,75.6,14,есть,кирпич-монолит,закрытая,,,,,,
52,5.2,30736560,2,61.7,14,есть,кирпич-монолит,закрытая,,,,,,
53,13.4,21000000,3,63.5,2,есть,кирпич-монолит,подземная,39.0,7.0,Хороший,,3,3.0
54,5.2,22771400,2,55.5,3,есть,кирпич-монолит,закрытая,,,,,,
55,12.3,18005434,1,35.6,11,,монолит,,24.2,4.8,,,,
56,5.2,25446510,2,58.2,5,есть,кирпич-монолит,закрытая,,,,,,
57,5.2,34486200,2,67.6,16,есть,кирпич-монолит,закрытая,,,,,,
58,5.1,29500000,2,70.0,4,есть,монолит,подземная,46.0,15.0,Евро,,,3.0
